value,label,count
0,street_name,1
00,street_name,1
1 AVE,street_name,1
1 AVENUE,street_name,1
1 COURT,street_name,1
1 PLACE,street_name,1
1 STREET,street_name,1
10 AVE,street_name,1
10 AVENUE,street_name,1
10 ST,street_name,1
10 STREET,street_name,1
100 AVENUE,street_name,1
100 DRIVE,street_name,1
100 ROAD,street_name,1
100 STREET,street_name,1
101 AVE,street_name,1
101 AVE.,street_name,1
101 AVENUE,street_name,1
101 AVENUEDUMMY,street_name,1
101 ROAD,street_name,1
101 STREET,street_name,1
102 AVENUE,street_name,1
102 ROAD,street_name,1
102 ST,street_name,1
102 STREET,street_name,1
103 AVENUE,street_name,1
103 AVENUE ,street_name,1
103 DRIVE,street_name,1
103 ROAD,street_name,1
103 STREET,street_name,1
104 AVENUE,street_name,1
104 ROAD,street_name,1
104 ST,street_name,1
104 STREET,street_name,1
105 AV,street_name,1
105 AVE,street_name,1
105 AVENUE,street_name,1
105 ST,street_name,1
105 STREET,street_name,1
106 AVE,street_name,1
106 AVENUE,street_name,1
106 ROAD,street_name,1
106 ST,street_name,1
106 STREET,street_name,1
107 AVE,street_name,1
107 AVENUE,street_name,1
107 ROAD,street_name,1
107 ST,street_name,1
107 STREET,street_name,1
108 AVENUE,street_name,1
108 DRIVE,street_name,1
108 ROAD,street_name,1
108 STREET,street_name,1
109 AVENUE,street_name,1
109 DRIVE,street_name,1
109 RD,street_name,1
109 ROAD,street_name,1
109 STREET,street_name,1
109-55 VAN WYCK EXPRESSWAY,street_name,1
10TH AVENUE,street_name,1
11 AVENUE,street_name,1
11 AVENUEDUMMY0,street_name,1
11 STREET,street_name,1
110 AVENUE,street_name,1
110 ROAD,street_name,1
110 ST,street_name,1
110 STREET,street_name,1
111 AVENUE,street_name,1
111 ELLWOOD STREET,street_name,1
111 ROAD,street_name,1
111 ST,street_name,1
111 STREET,street_name,1
112 AVENUE,street_name,1
112 PLACE,street_name,1
112 ROAD,street_name,1
112 STREET,street_name,1
112TH ST,street_name,1
113 AVE,street_name,1
113 AVENUE,street_name,1
113 DRIVE,street_name,1
113 ROAD,street_name,1
113 STREET,street_name,1
114 AVENUE,street_name,1
114 DRIVE,street_name,1
114 PLACE,street_name,1
114 ROAD,street_name,1
114 STREET,street_name,1
114 TERRACE,street_name,1
115 AVE,street_name,1
115 AVENUE,street_name,1
115 COURT,street_name,1
115 DRIVE,street_name,1
115 ROAD,street_name,1
115 STREET,street_name,1
115 TERRACE,street_name,1
1150,street_name,1
115TH AVENUE ,street_name,1
116 AVE,street_name,1
116 AVENUE,street_name,1
116 DRIVE,street_name,1
116 ROAD,street_name,1
116 ST,street_name,1
116 STREET,street_name,1
117 ROAD,street_name,1
117 ST,street_name,1
117 STREET,street_name,1
118 AVENUE,street_name,1
118 ROAD,street_name,1
118 ST,street_name,1
118 STREET,street_name,1
119 AVENUE,street_name,1
119 DRIVE,street_name,1
119 RD,street_name,1
119 ROAD,street_name,1
119 STREET,street_name,1
12 AVENUE,street_name,1
12 ROAD,street_name,1
12 STREET,street_name,1
120 AVE,street_name,1
120 AVENUE,street_name,1
120 ROAD,street_name,1
120 STREET,street_name,1
121 AVENUE,street_name,1
121 STREET,street_name,1
122 AVENUE,street_name,1
122 PLACE,street_name,1
122 STREET,street_name,1
122 WEST 173 STREET,street_name,1
123 AVENUE,street_name,1
123 STREET,street_name,1
124 AVENUE,street_name,1
124 PLACE,street_name,1
124 STREET,street_name,1
124TH PLACE,street_name,1
125 AVENUE,street_name,1
125 ST,street_name,1
125 STREET,street_name,1
126 AVENUE,street_name,1
126 PLACE,street_name,1
126 STREET,street_name,1
127 AVENUE,street_name,1
127 ST,street_name,1
127 STREET,street_name,1
128 AVENUE,street_name,1
128 ROAD,street_name,1
128 STREET,street_name,1
129 AVENUE,street_name,1
129 AVENUE ,street_name,1
129 ST,street_name,1
129 STREET,street_name,1
12TH STREET,street_name,1
13 AVENUE,street_name,1
13 ROAD,street_name,1
13 ST,street_name,1
13 STREET,street_name,1
130 AVENUE,street_name,1
130 DRIVE,street_name,1
130 PLACE,street_name,1
130 ROAD,street_name,1
130 ST,street_name,1
130 STREET,street_name,1
130TH PLACE,street_name,1
131 AVENUE,street_name,1
131 ROAD,street_name,1
131 ST,street_name,1
131 STREET,street_name,1
132 AVENUE,street_name,1
132 ROAD,street_name,1
132 STREET,street_name,1
133 AVE,street_name,1
133 AVENUE,street_name,1
133 DRIVE,street_name,1
133 PLACE,street_name,1
133 ROAD,street_name,1
133 STREET,street_name,1
134 AVENUE,street_name,1
134 PLACE,street_name,1
134 ROAD,street_name,1
134 ST,street_name,1
134 STREET,street_name,1
135 AVE,street_name,1
135 AVENUE,street_name,1
135 DRIVE,street_name,1
135 PLACE,street_name,1
135 ROAD,street_name,1
135 STREET,street_name,1
135TH ST,street_name,1
136 AVENUE,street_name,1
136 ROAD,street_name,1
136 ST,street_name,1
136 STREET,street_name,1
137 AVE,street_name,1
137 AVENUE,street_name,1
137 ROAD,street_name,1
137 STREET,street_name,1
138 AVENUE,street_name,1
138 PLACE,street_name,1
138 ROAD,street_name,1
138 ST,street_name,1
138 STREET,street_name,1
139 AVE,street_name,1
139 AVENUE,street_name,1
139 PLACE,street_name,1
139 ROAD,street_name,1
139 STREET,street_name,1
14 AVENUE,street_name,1
14 PL,street_name,1
14 PLACE,street_name,1
14 ROAD,street_name,1
14 STREET,street_name,1
140 AVE,street_name,1
140 AVENUE,street_name,1
140 ST,street_name,1
140 STREET,street_name,1
141 AVENUE,street_name,1
141 PLACE,street_name,1
141 ROAD,street_name,1
141 ST,street_name,1
141 STREET,street_name,1
142 AVENUE,street_name,1
142 PLACE,street_name,1
142 ROAD,street_name,1
142 STREET,street_name,1
143 AVENUE,street_name,1
143 PLACE,street_name,1
143 ROAD,street_name,1
143 ST,street_name,1
143 STREET,street_name,1
144 AVE,street_name,1
144 AVENUE,street_name,1
144 DRIVE,street_name,1
144 PLACE,street_name,1
144 ROAD,street_name,1
144 ST.,street_name,1
144 STREET,street_name,1
144 TERRACE,street_name,1
145 AVENUE,street_name,1
145 DRIVE,street_name,1
145 PLACE,street_name,1
145 ROAD,street_name,1
145 STREET,street_name,1
146 AVENUE,street_name,1
146 DRIVE,street_name,1
146 PLACE,street_name,1
146 ROAD,street_name,1
146 STREET,street_name,1
146 TERRACE,street_name,1
146TH ST,street_name,1
147 AVENUE,street_name,1
147 DRIVE,street_name,1
147 PLACE,street_name,1
147 ROAD,street_name,1
147 ST,street_name,1
147 STREET,street_name,1
147TH ST,street_name,1
148 AVENUE,street_name,1
148 DRIVE,street_name,1
148 PLACE,street_name,1
148 ROAD,street_name,1
148 STREET,street_name,1
149 AVE,street_name,1
149 AVENUE,street_name,1
149 DRIVE,street_name,1
149 PLACE,street_name,1
149 ROAD,street_name,1
149 ST,street_name,1
149 STREET,street_name,1
15 AVENUE,street_name,1
15 DRIVE,street_name,1
15 ROAD,street_name,1
15 STREET,street_name,1
150 AVE,street_name,1
150 AVENUE,street_name,1
150 DRIVE,street_name,1
150 PLACE,street_name,1
150 ROAD,street_name,1
150 ST,street_name,1
150 STREET,street_name,1
151 AVE,street_name,1
151 AVENUE,street_name,1
151 STREET,street_name,1
152 AVENUE,street_name,1
152 STREET,street_name,1
153 AVENUE,street_name,1
153 COURT,street_name,1
153 LANE,street_name,1
153 PLACE,street_name,1
153 STREET,street_name,1
154 PLACE,street_name,1
154 STREET,street_name,1
155 AVENUE,street_name,1
155 STREET,street_name,1
156 AVENUE,street_name,1
156 STREET,street_name,1
157 AVENUE,street_name,1
157 STREET,street_name,1
158 AVENUE,street_name,1
158 STREET,street_name,1
158TH ST,street_name,1
158TH STREET,street_name,1
159 AVENUE,street_name,1
159 DRIVE,street_name,1
159 ROAD,street_name,1
159 STREET,street_name,1
16 AVENUE,street_name,1
16 DRIVE,street_name,1
16 ROAD,street_name,1
16 STREET,street_name,1
